('192.168.172.236', 0),45:00:00:28:1D:3C,40:00:80:06:AF:9D,43200
('192.168.172.236', 0),45:00:00:47:1D:3D,40:00:80:06:AF:7D,43200
('192.168.172.236', 0),45:00:00:28:93:1A,40:00:80:06:7C:59,43200
('192.168.172.236', 0),45:00:00:28:2E:3D,40:00:80:06:18:12,43200
('192.168.172.236', 0),45:00:00:34:1F:C8,40:00:80:06:62:1F,43200
('192.168.172.236', 0),45:00:00:28:1F:C9,40:00:80:06:62:2A,43200
('192.168.172.236', 0),45:00:00:28:1F:CB,40:00:80:06:62:28,43200
('192.168.172.236', 0),45:00:00:85:1F:CC,40:00:80:06:61:CA,43200
('192.168.172.236', 0),45:00:00:3F:99:8C,00:00:80:11:C6:B3,43200
('192.168.172.236', 0),45:00:00:65:50:32,40:00:80:11:E5:82,43200
('192.168.172.236', 0),45:00:04:FA:50:33,40:00:80:11:E0:EC,43200
('192.168.172.236', 0),45:00:04:FE:78:A9,40:00:80:11:B8:B3,43200
('40.77.226.250', 0),45:00:00:28:A0:F9,40:00:68:06:F8:F9,19752
('192.168.172.236', 0),45:00:05:6D:1F:CD,40:00:80:06:5C:E1,43200
('192.168.172.48', 0),45:00:00:73:73:DF,40:00:40:11:EC:2C,43200
('192.168.172.236', 0),45:00:04:FE:08:66,40:00:80:11:28:D7,43200
('172.217.170.100', 0),45:00:04:FE:00:00,40:00:33:11:7E:1C,55724
('172.217.170.35', 0),45:00:04:FE:00:00,40:00:33:11:7E:5D,55724
('172.217.170.67', 0),45:00:04:FE:00:00,40:00:33:11:7E:3D,55724
('172.217.170.100', 0),45:00:04:FE:00:00,40:00:33:11:7E:1C,55724
('192.168.172.236', 0),45:00:00:6B:50:35,40:00:80:11:E5:79,43200
('192.168.172.236', 0),45:00:01:2F:50:37,40:00:80:11:E4:B3,43200
('172.217.170.35', 0),45:00:04:FE:00:00,40:00:33:11:7E:5D,55724
('192.168.172.236', 0),45:00:00:6B:78:AB,40:00:80:11:BD:44,43200
('172.217.170.35', 0),45:00:00:37:00:00,40:00:33:11:83:24,55724
('40.77.226.250', 0),45:00:00:28:A0:FB,40:00:68:06:F8:F7,19752
('192.168.172.236', 0),45:00:00:28:1F:CE,40:00:80:06:62:25,43200
('192.168.172.236', 0),45:00:00:28:1F:D0,40:00:80:06:62:23,43200
('192.168.172.236', 0),45:00:04:FE:08:68,40:00:80:11:28:D5,43200
('172.217.170.67', 0),45:00:00:37:00:00,40:00:33:11:83:04,55724
('192.168.172.236', 0),45:00:00:3D:50:39,40:00:80:11:E5:A3,43200
('192.168.172.236', 0),45:00:00:28:2E:3E,40:00:80:06:18:11,43200
('172.217.170.67', 0),45:00:00:78:00:00,40:00:33:11:82:C3,55724
('192.168.172.236', 0),45:00:00:3D:08:6A,40:00:80:11:2D:94,43200
('172.217.170.100', 0),45:00:04:FA:00:00,40:00:33:11:7E:20,55724
('172.217.170.100', 0),45:00:04:FE:00:00,40:00:33:11:7E:1C,55724
('192.168.172.236', 0),45:00:00:3D:50:3D,40:00:80:11:E5:9F,43200
